,Objective,Time,Ratio
0,-114743112.31422329,20,0.9999999999893676
1,-114743112.31477557,22,0.9999999999941809
2,-114743112.31397496,30,0.9999999999872035
3,-114743112.31434296,31,0.9999999999904106
4,-114743112.31436081,29,0.9999999999905662
5,-114743112.31396683,29,0.9999999999871325
6,-114743112.31440859,25,0.9999999999909825
7,-114743112.31438424,30,0.9999999999907704
8,-114743112.31333068,27,0.9999999999815885
9,-114743112.3138112,28,0.9999999999857763
10,-114743112.3148643,28,0.999999999994954
11,-114743112.31433432,28,0.9999999999903353
12,-114743112.31484197,28,0.9999999999947595
13,-114743112.31477274,30,0.9999999999941562
14,-114743112.31288706,30,0.9999999999777223
15,-114743112.31360613,16,0.999999999983989
16,-114743112.31380385,28,0.9999999999857122
17,-114743112.31440963,31,0.9999999999909917
18,-114743112.31411119,29,0.9999999999883907
19,-114743112.3140589,29,0.999999999987935
20,-114743112.31387286,33,0.9999999999863136
21,-114743112.31426737,26,0.9999999999897518
22,-114743112.31436081,33,0.9999999999905662
23,-114743112.31436081,29,0.9999999999905662
24,-114743112.31477578,32,0.9999999999941827
25,-114743112.31436081,29,0.9999999999905662
26,-114743112.3147773,29,0.999999999994196
27,-114743112.31544328,27,1.0
28,-114743112.31366943,29,0.9999999999845407
29,-114743112.3143599,32,0.9999999999905582
30,-114743112.31374037,32,0.999999999985159
31,-114743112.31489375,24,0.9999999999952108
32,-114743112.31448486,25,0.9999999999916473
33,-114743112.31435415,32,0.9999999999905081
34,-114743112.31436081,30,0.9999999999905662
35,-114743112.31352173,31,0.9999999999832535
36,-114743112.314344,29,0.9999999999904197
37,-114743112.31343625,30,0.9999999999825085
38,-114743112.31388378,28,0.9999999999864088
39,-114743112.31379923,27,0.9999999999856719
40,-114743112.31477748,30,0.9999999999941975
41,-114743112.31433877,33,0.9999999999903741
42,-114743112.31337595,34,0.999999999981983
43,-114743112.31391545,28,0.9999999999866848
44,-114743112.31524035,31,0.9999999999982315
45,-114743112.31426667,32,0.9999999999897456
46,-114743112.31485608,31,0.9999999999948825
47,-114743112.31483653,29,0.9999999999947121
48,-114743112.31444263,30,0.9999999999912793
49,-114743112.31438166,25,0.9999999999907478
50,-114743112.31431095,32,0.9999999999901317
51,-114743112.31372815,26,0.9999999999850525
52,-114743112.31436081,37,0.9999999999905662
53,-114743112.31417349,37,0.9999999999889336
54,-114743112.31452563,32,0.9999999999920026
55,-114743112.31397763,34,0.9999999999872267
56,-114743112.3133589,25,0.9999999999818344
57,-114743112.3147119,31,0.999999999993626
58,-114743112.31454115,26,0.9999999999921378
59,-114743112.3144675,29,0.999999999991496
60,-114743112.31438616,30,0.999999999990787
61,-114743112.31412098,22,0.999999999988476
62,-114743112.31391583,30,0.9999999999866881
63,-114743112.31383549,32,0.9999999999859879
64,-114743112.31426662,29,0.9999999999897453
65,-114743112.31430341,31,0.999999999990066
66,-114743112.3145151,28,0.9999999999919108
67,-114743112.31334287,28,0.9999999999816946
68,-114743112.31343666,28,0.9999999999825121
69,-114743112.31483918,19,0.9999999999947352
70,-114743112.31438597,31,0.9999999999907854
71,-114743112.3152164,31,0.9999999999980228
72,-114743112.31439371,27,0.999999999990853
73,-114743112.31368986,24,0.9999999999847188
74,-114743112.31410584,18,0.9999999999883441
75,-114743112.31367882,30,0.9999999999846225
76,-114743112.3144243,25,0.9999999999911195
77,-114743112.31395349,26,0.9999999999870163
78,-114743112.31489572,29,0.9999999999952279
79,-114743112.31337345,29,0.9999999999819612
80,-114743112.31424288,27,0.9999999999895385
81,-114743112.31388836,27,0.9999999999864487
82,-114743112.31397882,28,0.9999999999872371
83,-114743112.31390874,23,0.9999999999866264
84,-114743112.3143093,22,0.9999999999901172
85,-114743112.3131889,22,0.9999999999803528
86,-114743112.31364045,26,0.9999999999842881
87,-114743112.31371188,30,0.9999999999849106
88,-114743112.31478174,24,0.9999999999942346
89,-114743112.31420453,31,0.9999999999892042
90,-114743112.31374264,27,0.9999999999851787
91,-114743112.31340632,24,0.9999999999822476
92,-114743112.31422982,29,0.9999999999894246
93,-114743112.31419694,26,0.999999999989138
94,-114743112.31363972,26,0.9999999999842818
95,-114743112.31487031,29,0.9999999999950065
96,-114743112.31385288,28,0.9999999999861394
97,-114743112.3144432,25,0.9999999999912842
98,-114743112.31464751,25,0.9999999999930648
99,-114743112.31445107,21,0.9999999999913528
